Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 05-Aug-2024,Total applicable ELM%
1,AARTIIND,OTH,3.5,0,3.5
2,AARTIIND,OTM,5.25,0,5.25
3,ABB,OTH,3.5,0,3.5
4,ABB,OTM,5.25,0,5.25
5,ABBOTINDIA,OTH,3.5,0,3.5
6,ABBOTINDIA,OTM,5.25,0,5.25
7,ABCAPITAL,OTH,3.5,10.5,14
8,ABCAPITAL,OTM,5.25,15.75,21
9,ABFRL,OTH,3.5,3.5,7
10,ABFRL,OTM,5.25,5.25,10.5
11,ACC,OTH,3.5,0,3.5
12,ACC,OTM,5.25,0,5.25
13,ADANIENT,OTH,3.5,0,3.5
14,ADANIENT,OTM,5.25,0,5.25
15,ADANIPORTS,OTH,3.5,0,3.5
16,ADANIPORTS,OTM,5.25,0,5.25
17,ALKEM,OTH,3.5,0,3.5
18,ALKEM,OTM,5.25,0,5.25
19,AMBUJACEM,OTH,3.5,0,3.5
20,AMBUJACEM,OTM,5.25,0,5.25
21,APOLLOHOSP,OTH,3.5,0,3.5
22,APOLLOHOSP,OTM,5.25,0,5.25
23,APOLLOTYRE,OTH,3.5,0,3.5
24,APOLLOTYRE,OTM,5.25,0,5.25
25,ASHOKLEY,OTH,3.5,0,3.5
